frame,time_sec,side,source,x_ankle,y_ankle
159,1.3257,left,range,0.967566192150116,0.5489502549171448
160,1.334,left,range,0.9645904302597046,0.5525785684585571
161,1.3423,left,range,0.9680678844451904,0.5436766743659973
162,1.3507,left,range,0.9651294350624084,0.5461039543151855
163,1.359,left,range,0.9533928036689758,0.5456259846687317
164,1.3674,left,range,0.9372153878211975,0.5720505714416504
165,1.3757,left,range,0.9330082535743713,0.6393217444419861
166,1.384,left,range,0.930816113948822,0.5454111099243164
167,1.3924,left,range,0.932490348815918,0.6186903715133667
168,1.4007,left,range,0.9298806190490723,0.6011837124824524
169,1.409,left,range,0.9358230233192444,0.6634306907653809
170,1.4174,left,range,0.9114493727684021,0.616144061088562
171,1.4257,left,range,0.9357194304466248,0.6662973761558533
172,1.4341,left,range,0.9350343942642212,0.6658060550689697
187,1.5591,right,range,0.815841555595398,0.6780926585197449
188,1.5675,right,range,0.8167678713798523,0.6806482076644897
189,1.5758,right,range,0.8170668482780457,0.6816686987876892
190,1.5841,right,range,0.816247820854187,0.6820772886276245
191,1.5925,right,range,0.8154091238975525,0.6828611493110657
192,1.6008,right,range,0.8113184571266174,0.682406485080719
193,1.6091,right,range,0.8129717707633972,0.6814730167388916
194,1.6175,right,range,0.8135531544685364,0.6794793605804443
195,1.6258,right,range,0.7886908650398254,0.6330271363258362
196,1.6342,right,range,0.8094556927680969,0.663489043712616
197,1.6425,right,range,0.8082572221755981,0.6693788766860962
198,1.6508,right,range,0.805722177028656,0.6712596416473389
199,1.6592,right,range,0.8016144633293152,0.6697152256965637
209,1.7425,left,range,0.7011439204216003,0.6763219833374023
210,1.7509,left,range,0.6989278197288513,0.6784707903862
211,1.7592,left,range,0.6979010105133057,0.6810454726219177
212,1.7676,left,range,0.6988816857337952,0.6825669407844543
213,1.7759,left,range,0.6988670229911804,0.6828648447990417
214,1.7842,left,range,0.699829638004303,0.6377415657043457
215,1.7926,left,range,0.6979995369911194,0.6741845011711121
216,1.8009,left,range,0.6975147128105164,0.679284930229187
217,1.8092,left,range,0.6957948803901672,0.6785850524902344
218,1.8176,left,range,0.6947945952415466,0.6771900653839111
219,1.8259,left,range,0.6931294202804565,0.6762181520462036
220,1.8343,left,range,0.6914619207382202,0.6755316853523254
221,1.8426,left,range,0.688135027885437,0.6738436818122864
236,1.9677,right,range,0.5744742751121521,0.6786362528800964
237,1.976,right,range,0.5731157660484314,0.6831551790237427
238,1.9843,right,range,0.5709642767906189,0.6848742365837097
239,1.9927,right,range,0.5709484815597534,0.6862102746963501
240,2.001,right,range,0.5720676779747009,0.6861391067504883
241,2.0093,right,range,0.5727955102920532,0.6848101615905762
242,2.0177,right,range,0.5534585118293762,0.6689749360084534
243,2.026,right,range,0.5704342126846313,0.6778771877288818
244,2.0344,right,range,0.5711038708686829,0.6790570616722107
245,2.0427,right,range,0.5702470541000366,0.678926408290863
246,2.051,right,range,0.568793535232544,0.6777057647705078
247,2.0594,right,range,0.5666654109954834,0.6744194030761719
248,2.0677,right,range,0.5633543729782104,0.6715698838233948
249,2.076,right,range,0.5601975321769714,0.6688879132270813
259,2.1594,left,range,0.44554227590560913,0.686552882194519
260,2.1678,left,range,0.4463089406490326,0.6863437294960022
261,2.1761,left,range,0.44517844915390015,0.6854500770568848
262,2.1844,left,range,0.44413068890571594,0.6843295693397522
263,2.1928,left,range,0.44359418749809265,0.6853629350662231
264,2.2011,left,range,0.44262611865997314,0.6852681636810303
265,2.2094,left,range,0.44262561202049255,0.6846317052841187
266,2.2178,left,range,0.44296956062316895,0.6826968193054199
267,2.2261,left,range,0.4429461658000946,0.6818202137947083
268,2.2345,left,range,0.4423239827156067,0.6781346201896667
269,2.2428,left,range,0.44175589084625244,0.6789559125900269
270,2.2511,left,range,0.44020992517471313,0.6851029992103577
271,2.2595,left,range,0.43915605545043945,0.6685047149658203
272,2.2678,left,range,0.4361725151538849,0.6656267642974854
273,2.2761,left,range,0.4324658215045929,0.669463574886322
