frame,time_sec,side,source,x_ankle,y_ankle
8,0.0334,right,range,0.7774614095687866,0.6785752177238464
9,0.0376,right,range,0.7779906988143921,0.6770457029342651
10,0.0418,right,range,0.7741438746452332,0.6840668320655823
11,0.0459,right,range,0.7738208174705505,0.6867802739143372
12,0.0501,right,range,0.7762686610221863,0.6859808564186096
13,0.0543,right,range,0.7766735553741455,0.6844782829284668
14,0.0585,right,range,0.7766717076301575,0.6846678853034973
15,0.0626,right,range,0.7763724327087402,0.6843031048774719
16,0.0668,right,range,0.7789956331253052,0.6804355382919312
17,0.071,right,range,0.7787467837333679,0.6790798306465149
18,0.0752,right,range,0.7758197784423828,0.6854666471481323
19,0.0793,right,range,0.7748362421989441,0.6863930225372314
20,0.0835,right,range,0.7757796049118042,0.6840426921844482
21,0.0877,right,range,0.7767207622528076,0.6831876039505005
22,0.0919,right,range,0.7762331962585449,0.6832640171051025
23,0.096,right,range,0.7752909064292908,0.6821142435073853
24,0.1002,right,range,0.775558352470398,0.6819424629211426
25,0.1044,right,range,0.7749484181404114,0.6817541718482971
26,0.1086,right,range,0.7752327919006348,0.6823159456253052
27,0.1127,right,range,0.7747595906257629,0.6814004778862
28,0.1169,right,range,0.7748647928237915,0.6815367937088013
29,0.1211,right,range,0.7748117446899414,0.6809729933738708
30,0.1253,right,range,0.7745081186294556,0.6809993982315063
31,0.1294,right,range,0.7746055722236633,0.6809762120246887
32,0.1336,right,range,0.7749780416488647,0.6809726357460022
33,0.1378,right,range,0.7734940648078918,0.679896354675293
34,0.142,right,range,0.7740522027015686,0.6798150539398193
35,0.1461,right,range,0.7728049159049988,0.6785951256752014
36,0.1503,right,range,0.7730382084846497,0.6786091327667236
37,0.1545,right,range,0.7728523015975952,0.6777147650718689
38,0.1587,right,range,0.7720456719398499,0.6775803565979004
39,0.1628,right,range,0.7712668180465698,0.6775174140930176
40,0.167,right,range,0.7706558704376221,0.6770398020744324
41,0.1712,right,range,0.7704973816871643,0.6766746640205383
42,0.1754,right,range,0.7700972557067871,0.6757885813713074
43,0.1796,right,range,0.7696987986564636,0.6758266091346741
44,0.1837,right,range,0.7693542242050171,0.6753085851669312
45,0.1879,right,range,0.7679055333137512,0.6746091842651367
46,0.1921,right,range,0.7655691504478455,0.6732536554336548
74,0.309,left,range,0.6565418243408203,0.690757155418396
75,0.3132,left,range,0.6567851305007935,0.6916816234588623
76,0.3173,left,range,0.6569602489471436,0.691943347454071
77,0.3215,left,range,0.6562669277191162,0.692284882068634
78,0.3257,left,range,0.6556531190872192,0.6925010085105896
79,0.3299,left,range,0.6553550958633423,0.6923786401748657
80,0.334,left,range,0.6550809741020203,0.6924874782562256
81,0.3382,left,range,0.6549541354179382,0.6932017803192139
82,0.3424,left,range,0.6548587083816528,0.69310063123703
83,0.3466,left,range,0.6560211181640625,0.6928912401199341
84,0.3508,left,range,0.6545732617378235,0.6927123665809631
85,0.3549,left,range,0.6535193920135498,0.6926581263542175
86,0.3591,left,range,0.6541359424591064,0.691624104976654
87,0.3633,left,range,0.6542590856552124,0.6908308863639832
88,0.3675,left,range,0.6546021699905396,0.6903389692306519
89,0.3716,left,range,0.6543254852294922,0.6900962591171265
90,0.3758,left,range,0.653770923614502,0.6898053288459778
91,0.38,left,range,0.6537414193153381,0.6888467669487
92,0.3842,left,range,0.6533389687538147,0.6878793239593506
93,0.3883,left,range,0.6529794931411743,0.6873453855514526
94,0.3925,left,range,0.6527256369590759,0.6865283846855164
95,0.3967,left,range,0.6524587273597717,0.6849228739738464
96,0.4009,left,range,0.652123212814331,0.6841781735420227
97,0.405,left,range,0.6522006988525391,0.6851993799209595
98,0.4092,left,range,0.6518713235855103,0.6861163973808289
99,0.4134,left,range,0.6514456272125244,0.6852232813835144
100,0.4176,left,range,0.651945948600769,0.6851840019226074
101,0.4217,left,range,0.6512458920478821,0.6844704747200012
102,0.4259,left,range,0.650515615940094,0.683639407157898
103,0.4301,left,range,0.6507494449615479,0.6828339099884033
104,0.4343,left,range,0.6496656537055969,0.6823550462722778
105,0.4384,left,range,0.6497798562049866,0.6818665266036987
106,0.4426,left,range,0.6486640572547913,0.6808109283447266
107,0.4468,left,range,0.6474744081497192,0.6798982620239258
108,0.451,left,range,0.6467928290367126,0.6786574721336365
109,0.4551,left,range,0.6464428901672363,0.6785393953323364
110,0.4593,left,range,0.6456042528152466,0.6782799363136292
136,0.5679,right,range,0.5264256596565247,0.6898715496063232
137,0.5721,right,range,0.5261710286140442,0.6897197365760803
138,0.5762,right,range,0.526461660861969,0.6889330744743347
139,0.5804,right,range,0.5254014134407043,0.6891723275184631
140,0.5846,right,range,0.5247254967689514,0.6906787157058716
141,0.5888,right,range,0.5247254371643066,0.6912259459495544
142,0.5929,right,range,0.5252900719642639,0.6899309754371643
143,0.5971,right,range,0.5251680612564087,0.6899141073226929
144,0.6013,right,range,0.5242401361465454,0.6912054419517517
145,0.6055,right,range,0.5240370035171509,0.6895801424980164
146,0.6096,right,range,0.5235650539398193,0.6895565986633301
147,0.6138,right,range,0.5231378674507141,0.6898142099380493
148,0.618,right,range,0.5228958129882812,0.6908290982246399
149,0.6222,right,range,0.5229611396789551,0.6948373913764954
150,0.6263,right,range,0.5230863094329834,0.692842423915863
151,0.6305,right,range,0.5229957699775696,0.6931589841842651
152,0.6347,right,range,0.5230000615119934,0.6950458884239197
153,0.6389,right,range,0.5228040814399719,0.6919525265693665
154,0.643,right,range,0.5240973234176636,0.6915080547332764
155,0.6472,right,range,0.5238003134727478,0.6920806169509888
156,0.6514,right,range,0.5218766331672668,0.6911817193031311
157,0.6556,right,range,0.5213594436645508,0.6928950548171997
158,0.6597,right,range,0.5214899182319641,0.6936476826667786
159,0.6639,right,range,0.5209155082702637,0.691386878490448
160,0.6681,right,range,0.5208818912506104,0.6925287842750549
161,0.6723,right,range,0.5213945508003235,0.6939862966537476
162,0.6764,right,range,0.5213068723678589,0.692750096321106
163,0.6806,right,range,0.5206891298294067,0.6920679807662964
164,0.6848,right,range,0.5202735066413879,0.690591037273407
165,0.689,right,range,0.5193374156951904,0.6890861392021179
166,0.6931,right,range,0.5191529393196106,0.6887437701225281
167,0.6973,right,range,0.5188237428665161,0.6870977878570557
168,0.7015,right,range,0.5186294317245483,0.6879007816314697
169,0.7057,right,range,0.517468273639679,0.6863085627555847
170,0.7099,right,range,0.5164290070533752,0.6841526031494141
171,0.714,right,range,0.5158175826072693,0.6810794472694397
172,0.7182,right,range,0.5145777463912964,0.6804131269454956
173,0.7224,right,range,0.5133922696113586,0.68085777759552
174,0.7266,right,range,0.5120061039924622,0.68051677942276
189,0.7892,left,range,0.4037743806838989,0.7006461024284363
190,0.7934,left,range,0.4018327295780182,0.6967381834983826
191,0.7975,left,range,0.4510989189147949,0.6766332983970642
192,0.8017,left,range,0.4093441665172577,0.6959795951843262
193,0.8059,left,range,0.4018455147743225,0.6987550258636475
194,0.8101,left,range,0.3995029330253601,0.7029756903648376
195,0.8142,left,range,0.3986130356788635,0.7036154866218567
196,0.8184,left,range,0.3983163833618164,0.7000454664230347
197,0.8226,left,range,0.449743390083313,0.6472262740135193
198,0.8268,left,range,0.4468934237957001,0.6424881219863892
199,0.8309,left,range,0.40058448910713196,0.6919248104095459
200,0.8351,left,range,0.3970855474472046,0.6974092125892639
201,0.8393,left,range,0.3965870440006256,0.7012019753456116
202,0.8435,left,range,0.395928293466568,0.7011993527412415
203,0.8476,left,range,0.39572474360466003,0.6986788511276245
204,0.8518,left,range,0.3958888351917267,0.6983303427696228
205,0.856,left,range,0.3956700265407562,0.7001252770423889
206,0.8602,left,range,0.39523690938949585,0.7001962661743164
207,0.8643,left,range,0.39403533935546875,0.698489248752594
208,0.8685,left,range,0.3930225670337677,0.6978834867477417
209,0.8727,left,range,0.39229002594947815,0.698252260684967
210,0.8769,left,range,0.392511785030365,0.7180472016334534
211,0.8811,left,range,0.3926779329776764,0.7018736004829407
212,0.8852,left,range,0.3930336534976959,0.6952736973762512
213,0.8894,left,range,0.3934551775455475,0.6977152228355408
214,0.8936,left,range,0.39376887679100037,0.6994243264198303
215,0.8978,left,range,0.3932228684425354,0.6922709345817566
216,0.9019,left,range,0.39246585965156555,0.6890197992324829
217,0.9061,left,range,0.3924277722835541,0.699918270111084
218,0.9103,left,range,0.3889208734035492,0.6353912949562073
219,0.9145,left,range,0.39025038480758667,0.6791626214981079
220,0.9186,left,range,0.3906169533729553,0.6906587481498718
221,0.9228,left,range,0.3899129033088684,0.6927632689476013
