frame,time_sec,side,source,x_ankle,y_ankle
152,1.2673,left,range,0.932198166847229,0.6885049343109131
153,1.2756,left,range,0.932668149471283,0.6907708644866943
154,1.284,left,range,0.932753324508667,0.6906521320343018
155,1.2923,left,range,0.9446248412132263,0.6403297781944275
156,1.3006,left,range,0.9332506656646729,0.6804373264312744
157,1.309,left,range,0.9316423535346985,0.6874168515205383
158,1.3173,left,range,0.9315451383590698,0.6886428594589233
159,1.3256,left,range,0.9311752319335938,0.6880783438682556
160,1.334,left,range,0.9309930205345154,0.6876835823059082
161,1.3423,left,range,0.9307595491409302,0.6878093481063843
162,1.3507,left,range,0.930385410785675,0.6884673833847046
163,1.359,left,range,0.9291549921035767,0.6866682767868042
164,1.3673,left,range,0.9280146956443787,0.6847088932991028
165,1.3757,left,range,0.9266371726989746,0.6826186180114746
166,1.384,left,range,0.9249618649482727,0.6811747550964355
167,1.3923,left,range,0.9235043525695801,0.679369330406189
184,1.5341,right,range,0.7982839941978455,0.689561665058136
185,1.5424,right,range,0.7964524626731873,0.6909388899803162
186,1.5508,right,range,0.7972773313522339,0.6924309134483337
187,1.5591,right,range,0.79795241355896,0.6922401189804077
188,1.5674,right,range,0.7979158759117126,0.6917751431465149
189,1.5758,right,range,0.7976265549659729,0.690101683139801
190,1.5841,right,range,0.7961030602455139,0.6895745992660522
191,1.5924,right,range,0.7964251041412354,0.6902828812599182
192,1.6008,right,range,0.7960706353187561,0.690981924533844
193,1.6091,right,range,0.7955409288406372,0.6879314184188843
194,1.6175,right,range,0.7951686978340149,0.6877416968345642
195,1.6258,right,range,0.7941921353340149,0.6867178082466125
196,1.6341,right,range,0.7922366857528687,0.6851457953453064
197,1.6425,right,range,0.7898896336555481,0.6825500726699829
198,1.6508,right,range,0.7867981195449829,0.6794134378433228
215,1.7925,left,range,0.6542351245880127,0.6850788593292236
216,1.8009,left,range,0.6527992486953735,0.6887274980545044
217,1.8092,left,range,0.6537780165672302,0.6903714537620544
218,1.8176,left,range,0.6541314721107483,0.691154956817627
219,1.8259,left,range,0.6541923880577087,0.6905660033226013
220,1.8342,left,range,0.6539559960365295,0.6907095909118652
221,1.8426,left,range,0.6536556482315063,0.6909934878349304
222,1.8509,left,range,0.6534688472747803,0.690322756767273
223,1.8592,left,range,0.6530320644378662,0.6898620128631592
224,1.8676,left,range,0.6524233818054199,0.6889327168464661
225,1.8759,left,range,0.6514161825180054,0.6873010993003845
226,1.8843,left,range,0.6504742503166199,0.6854037046432495
227,1.8926,left,range,0.6495572924613953,0.6837396025657654
228,1.9009,left,range,0.6478320360183716,0.6815897822380066
229,1.9093,left,range,0.6454715132713318,0.6805959343910217
230,1.9176,left,range,0.6442023515701294,0.679314374923706
247,2.0593,right,range,0.5100302696228027,0.6838201880455017
248,2.0677,right,range,0.509942889213562,0.6880269050598145
249,2.076,right,range,0.5099498629570007,0.6895474791526794
250,2.0844,right,range,0.5257852077484131,0.6705182790756226
251,2.0927,right,range,0.519488513469696,0.6865789890289307
252,2.101,right,range,0.5095779895782471,0.688663125038147
253,2.1094,right,range,0.5088135600090027,0.6900894641876221
254,2.1177,right,range,0.5079989433288574,0.6897596120834351
255,2.126,right,range,0.5058542490005493,0.6889403462409973
256,2.1344,right,range,0.50547194480896,0.6862014532089233
257,2.1427,right,range,0.5053404569625854,0.6847359538078308
258,2.1511,right,range,0.5041403770446777,0.6836649775505066
259,2.1594,right,range,0.5022026896476746,0.6797884106636047
260,2.1677,right,range,0.5007118582725525,0.6799489259719849
261,2.1761,right,range,0.4992136061191559,0.6815427541732788
274,2.2845,left,range,0.3845358192920685,0.6870235800743103
275,2.2928,left,range,0.38353443145751953,0.6898706555366516
276,2.3011,left,range,0.38352060317993164,0.6887633800506592
277,2.3095,left,range,0.3836870491504669,0.6891628503799438
278,2.3178,left,range,0.38323354721069336,0.6894370317459106
279,2.3261,left,range,0.382356196641922,0.6889952421188354
280,2.3345,left,range,0.38172757625579834,0.6926260590553284
281,2.3428,left,range,0.39387014508247375,0.6569394469261169
282,2.3512,left,range,0.39275333285331726,0.6216692328453064
283,2.3595,left,range,0.38726624846458435,0.6132290363311768
284,2.3678,left,range,0.3815150856971741,0.6811375617980957
285,2.3762,left,range,0.3801226317882538,0.6854217648506165
286,2.3845,left,range,0.3796367049217224,0.6847747564315796
287,2.3928,left,range,0.3782584071159363,0.6830252408981323
