frame,time_sec,side,source,x_ankle,y_ankle
38,1.2666666666666666,left,range,0.932198166847229,0.6885049343109131
39,1.3,left,range,0.9332506656646729,0.6804373264312744
40,1.3333333333333333,left,range,0.9309930205345154,0.6876835823059082
41,1.3666666666666667,left,range,0.9280146956443787,0.6847088932991028
46,1.5333333333333334,right,range,0.7982839941978455,0.689561665058136
47,1.5666666666666667,right,range,0.7979158759117126,0.6917751431465149
48,1.6,right,range,0.7960706353187561,0.690981924533844
49,1.6333333333333333,right,range,0.7922366857528687,0.6851457953453064
54,1.8,left,range,0.6527992486953735,0.6887274980545044
55,1.8333333333333333,left,range,0.6539559960365295,0.6907095909118652
56,1.8666666666666667,left,range,0.6524233818054199,0.6889327168464661
57,1.9,left,range,0.6478320360183716,0.6815897822380066
62,2.066666666666667,right,range,0.509942889213562,0.6880269050598145
63,2.1,right,range,0.5095779895782471,0.688663125038147
64,2.1333333333333333,right,range,0.50547194480896,0.6862014532089233
65,2.1666666666666665,right,range,0.5007118582725525,0.6799489259719849
69,2.3,left,range,0.38352060317993164,0.6887633800506592
70,2.3333333333333335,left,range,0.38172757625579834,0.6926260590553284
71,2.3666666666666667,left,range,0.3815150856971741,0.6811375617980957
