frame,time_sec,side,source,x_ankle,y_ankle
372,1.5533,left,range,0.9011930823326111,0.641543447971344
373,1.5575,left,range,0.9010884761810303,0.6426788568496704
374,1.5617,left,range,0.9007917046546936,0.6433290243148804
375,1.5659,left,range,0.9006487131118774,0.6439907550811768
376,1.57,left,range,0.9217788577079773,0.5833070278167725
377,1.5742,left,range,0.9042482376098633,0.6313939094543457
378,1.5784,left,range,0.9141955375671387,0.5813397765159607
379,1.5826,left,range,0.901553750038147,0.6347037553787231
380,1.5867,left,range,0.8999656438827515,0.6423159241676331
381,1.5909,left,range,0.9009755849838257,0.6443319916725159
382,1.5951,left,range,0.8999401926994324,0.6447799205780029
383,1.5993,left,range,0.8998996019363403,0.644066572189331
384,1.6034,left,range,0.8995212316513062,0.6438515782356262
385,1.6076,left,range,0.899153470993042,0.6436220407485962
386,1.6118,left,range,0.8952808380126953,0.6034625172615051
387,1.616,left,range,0.8856995105743408,0.592402994632721
388,1.6202,left,range,0.8832566142082214,0.5864872336387634
389,1.6243,left,range,0.8819472193717957,0.5847435593605042
390,1.6285,left,range,0.8954399228096008,0.6362234354019165
391,1.6327,left,range,0.8975836038589478,0.6404196619987488
392,1.6369,left,range,0.8972188234329224,0.6401730179786682
393,1.641,left,range,0.896537184715271,0.6391690373420715
394,1.6452,left,range,0.8963373303413391,0.6379286050796509
395,1.6494,left,range,0.8956118822097778,0.6373564004898071
396,1.6536,left,range,0.8955572247505188,0.6366325616836548
397,1.6577,left,range,0.8958864212036133,0.6367818713188171
398,1.6619,left,range,0.8953266143798828,0.6352331042289734
399,1.6661,left,range,0.89383465051651,0.6343523859977722
400,1.6703,left,range,0.8928040862083435,0.6338670253753662
401,1.6744,left,range,0.892695963382721,0.6334699988365173
435,1.8164,right,range,0.7821627259254456,0.6455281376838684
436,1.8206,right,range,0.7824342250823975,0.6463432908058167
437,1.8248,right,range,0.7817509770393372,0.6479450464248657
438,1.8289,right,range,0.7815876007080078,0.6492089629173279
439,1.8331,right,range,0.7811684608459473,0.6497136950492859
440,1.8373,right,range,0.7816807627677917,0.6500942707061768
441,1.8415,right,range,0.7816562056541443,0.6501578092575073
442,1.8456,right,range,0.7819986343383789,0.6509233713150024
443,1.8498,right,range,0.7815817594528198,0.6508760452270508
444,1.854,right,range,0.7809222340583801,0.6503077149391174
445,1.8582,right,range,0.780677080154419,0.6491674184799194
446,1.8623,right,range,0.7812936902046204,0.6498667001724243
447,1.8665,right,range,0.7811275124549866,0.650686502456665
448,1.8707,right,range,0.7810006737709045,0.649585485458374
449,1.8749,right,range,0.7805917263031006,0.6491311192512512
450,1.879,right,range,0.7804800271987915,0.648191511631012
451,1.8832,right,range,0.7801820039749146,0.6481863260269165
452,1.8874,right,range,0.7802292108535767,0.648184597492218
453,1.8916,right,range,0.7797181010246277,0.6480161547660828
454,1.8957,right,range,0.7808405756950378,0.6479141116142273
455,1.8999,right,range,0.7804516553878784,0.6476771831512451
456,1.9041,right,range,0.779909074306488,0.6467466354370117
457,1.9083,right,range,0.7798362374305725,0.645962119102478
458,1.9124,right,range,0.7798978686332703,0.6459288001060486
459,1.9166,right,range,0.7792619466781616,0.6452723741531372
460,1.9208,right,range,0.7788314819335938,0.6437676548957825
461,1.925,right,range,0.7771152257919312,0.6422919034957886
462,1.9291,right,range,0.7764610052108765,0.6411888003349304
463,1.9333,right,range,0.7751415967941284,0.6385952830314636
464,1.9375,right,range,0.732260525226593,0.6205974817276001
495,2.0669,left,range,0.6583253145217896,0.6530532240867615
496,2.0711,left,range,0.6584880352020264,0.6545315384864807
497,2.0753,left,range,0.6583548784255981,0.6543988585472107
498,2.0795,left,range,0.658535897731781,0.6546124815940857
499,2.0836,left,range,0.6582044363021851,0.6543139219284058
500,2.0878,left,range,0.6575126051902771,0.6540884375572205
501,2.092,left,range,0.6574472784996033,0.6558571457862854
502,2.0962,left,range,0.6741716265678406,0.5970583558082581
503,2.1003,left,range,0.6707411408424377,0.6185385584831238
504,2.1045,left,range,0.6687142252922058,0.5930270552635193
505,2.1087,left,range,0.6678520441055298,0.5908737182617188
506,2.1129,left,range,0.6620259284973145,0.6236650943756104
507,2.1171,left,range,0.659552276134491,0.6515906453132629
508,2.1212,left,range,0.6566091179847717,0.6534205675125122
509,2.1254,left,range,0.656415581703186,0.6541643738746643
510,2.1296,left,range,0.6561390161514282,0.6535592079162598
511,2.1338,left,range,0.6560853123664856,0.6533399820327759
512,2.1379,left,range,0.6560449600219727,0.6533748507499695
513,2.1421,left,range,0.6557323336601257,0.6531344652175903
514,2.1463,left,range,0.6548137664794922,0.6515833139419556
515,2.1505,left,range,0.6410907506942749,0.6052735447883606
516,2.1546,left,range,0.6537092924118042,0.6419515609741211
517,2.1588,left,range,0.6546385288238525,0.6486315131187439
518,2.163,left,range,0.6533806324005127,0.6499019265174866
519,2.1672,left,range,0.6530298590660095,0.6496992707252502
520,2.1713,left,range,0.6528873443603516,0.6493792533874512
521,2.1755,left,range,0.6525583267211914,0.6486302018165588
522,2.1797,left,range,0.6519280076026917,0.6482597589492798
523,2.1839,left,range,0.6508330702781677,0.6469739079475403
524,2.188,left,range,0.6488821506500244,0.6458219885826111
562,2.3467,right,range,0.558391809463501,0.599226713180542
563,2.3509,right,range,0.5249069929122925,0.6527479887008667
564,2.3551,right,range,0.5211189389228821,0.6576031446456909
565,2.3592,right,range,0.5200521945953369,0.6589459776878357
566,2.3634,right,range,0.5191718935966492,0.6590202450752258
567,2.3676,right,range,0.5166980028152466,0.6593308448791504
568,2.3718,right,range,0.5180404782295227,0.6589005589485168
569,2.3759,right,range,0.5184833407402039,0.6584144830703735
570,2.3801,right,range,0.5186304450035095,0.657403826713562
571,2.3843,right,range,0.5192933082580566,0.6589118242263794
572,2.3885,right,range,0.5192863345146179,0.658210813999176
573,2.3926,right,range,0.5192367434501648,0.6584301590919495
574,2.3968,right,range,0.5186432003974915,0.6588112115859985
575,2.401,right,range,0.5187337398529053,0.6593033075332642
576,2.4052,right,range,0.5176810026168823,0.6599387526512146
577,2.4093,right,range,0.5180498361587524,0.6594650745391846
578,2.4135,right,range,0.5176361203193665,0.6592789888381958
579,2.4177,right,range,0.5182427763938904,0.6589715480804443
580,2.4219,right,range,0.5182020664215088,0.6574296951293945
581,2.426,right,range,0.5188794732093811,0.6566388607025146
582,2.4302,right,range,0.5178531408309937,0.6563897728919983
583,2.4344,right,range,0.5170617699623108,0.65607750415802
584,2.4386,right,range,0.5167450308799744,0.654732346534729
585,2.4428,right,range,0.5157272815704346,0.6539708375930786
586,2.4469,right,range,0.48042023181915283,0.6410489082336426
587,2.4511,right,range,0.5038213133811951,0.6477387547492981
610,2.5471,left,range,0.4016718566417694,0.6670370697975159
611,2.5513,left,range,0.4015401303768158,0.6644715666770935
612,2.5555,left,range,0.40061935782432556,0.6629707217216492
613,2.5597,left,range,0.39913445711135864,0.6620102524757385
614,2.5638,left,range,0.39837849140167236,0.6629164218902588
615,2.568,left,range,0.39776939153671265,0.6654351353645325
616,2.5722,left,range,0.39778372645378113,0.6692964434623718
617,2.5764,left,range,0.3987062871456146,0.6678557395935059
618,2.5805,left,range,0.3986630141735077,0.6668797731399536
619,2.5847,left,range,0.3977319598197937,0.6671271920204163
620,2.5889,left,range,0.3972136080265045,0.6669180393218994
621,2.5931,left,range,0.39674094319343567,0.6654054522514343
622,2.5973,left,range,0.39598217606544495,0.6633210182189941
623,2.6014,left,range,0.3947632908821106,0.6651570200920105
624,2.6056,left,range,0.393897145986557,0.6644161343574524
625,2.6098,left,range,0.39411789178848267,0.6626344323158264
626,2.614,left,range,0.3936574161052704,0.6630473732948303
627,2.6181,left,range,0.3938124179840088,0.6625597476959229
628,2.6223,left,range,0.39368170499801636,0.6596730947494507
629,2.6265,left,range,0.39475786685943604,0.6612645983695984
630,2.6307,left,range,0.3938748836517334,0.6624026894569397
631,2.6348,left,range,0.3947475552558899,0.664257824420929
632,2.639,left,range,0.39434221386909485,0.6631900668144226
633,2.6432,left,range,0.3944590091705322,0.6629462838172913
634,2.6474,left,range,0.3947164714336395,0.6620684266090393
635,2.6515,left,range,0.3945283591747284,0.661408543586731
636,2.6557,left,range,0.39439958333969116,0.66087406873703
637,2.6599,left,range,0.3942803740501404,0.6602904200553894
638,2.6641,left,range,0.39364704489707947,0.659927248954773
639,2.6682,left,range,0.39260396361351013,0.658030092716217
640,2.6724,left,range,0.39255207777023315,0.6569298505783081
641,2.6766,left,range,0.39187952876091003,0.6563992500305176
