frame,time_sec,side,source,x_ankle,y_ankle
47,1.5666666666666667,left,range,0.9217788577079773,0.5833070278167725
48,1.6,left,range,0.8995212316513062,0.6438515782356262
49,1.6333333333333333,left,range,0.8972188234329224,0.6401730179786682
50,1.6666666666666667,left,range,0.8928040862083435,0.6338670253753662
55,1.8333333333333333,right,range,0.7816807627677917,0.6500942707061768
56,1.8666666666666667,right,range,0.7810006737709045,0.649585485458374
57,1.9,right,range,0.779909074306488,0.6467466354370117
58,1.9333333333333333,right,range,0.732260525226593,0.6205974817276001
62,2.066666666666667,left,range,0.6584880352020264,0.6545315384864807
63,2.1,left,range,0.6687142252922058,0.5930270552635193
64,2.1333333333333333,left,range,0.6560449600219727,0.6533748507499695
65,2.1666666666666665,left,range,0.6528873443603516,0.6493792533874512
71,2.3666666666666667,right,range,0.5180404782295227,0.6589005589485168
72,2.4,right,range,0.5176810026168823,0.6599387526512146
73,2.433333333333333,right,range,0.5167450308799744,0.654732346534729
77,2.566666666666667,left,range,0.39778372645378113,0.6692964434623718
78,2.6,left,range,0.393897145986557,0.6644161343574524
79,2.6333333333333333,left,range,0.39434221386909485,0.6631900668144226
80,2.6666666666666665,left,range,0.39255207777023315,0.6569298505783081
