frame,time_sec,side,source,x_ankle,y_ankle
386,1.6118,left,range,0.9156052470207214,0.6437860727310181
387,1.616,left,range,0.9143405556678772,0.6454788446426392
388,1.6202,left,range,0.9142285585403442,0.6453711986541748
389,1.6244,left,range,0.9158035516738892,0.645064115524292
390,1.6285,left,range,0.9346106052398682,0.6097509264945984
391,1.6327,left,range,0.9388296604156494,0.5863794088363647
392,1.6369,left,range,0.9377077221870422,0.5841283202171326
393,1.6411,left,range,0.9339584708213806,0.5840067863464355
394,1.6452,left,range,0.9169229865074158,0.6403953433036804
395,1.6494,left,range,0.9130541682243347,0.6451333165168762
396,1.6536,left,range,0.9263280034065247,0.5888032913208008
397,1.6578,left,range,0.9171099662780762,0.6403364539146423
398,1.6619,left,range,0.9138917922973633,0.645427942276001
399,1.6661,left,range,0.9124804139137268,0.6451864242553711
400,1.6703,left,range,0.9126624464988708,0.6466317772865295
401,1.6745,left,range,0.912346601486206,0.6454665064811707
402,1.6786,left,range,0.9144042730331421,0.6451589465141296
403,1.6828,left,range,0.9125041365623474,0.6439985036849976
404,1.687,left,range,0.9119850993156433,0.6418759226799011
405,1.6912,left,range,0.9118056297302246,0.6428945064544678
406,1.6953,left,range,0.9118545055389404,0.643580436706543
407,1.6995,left,range,0.911324679851532,0.6427309513092041
408,1.7037,left,range,0.8920423984527588,0.6068724393844604
409,1.7079,left,range,0.8850702047348022,0.5927178263664246
410,1.712,left,range,0.9085708260536194,0.6333913207054138
411,1.7162,left,range,0.8828745484352112,0.5970417857170105
412,1.7204,left,range,0.9085054993629456,0.6339172720909119
413,1.7246,left,range,0.9103047847747803,0.6372256875038147
414,1.7287,left,range,0.9099897742271423,0.6374350190162659
415,1.7329,left,range,0.9089438915252686,0.6364242434501648
416,1.7371,left,range,0.9087418913841248,0.6356246471405029
417,1.7413,left,range,0.9089022874832153,0.6348418593406677
418,1.7454,left,range,0.9081385731697083,0.6357378959655762
449,1.8749,right,range,0.7965171337127686,0.6465381383895874
450,1.8791,right,range,0.7961404323577881,0.647650957107544
451,1.8832,right,range,0.7958852648735046,0.6486189365386963
452,1.8874,right,range,0.7953529357910156,0.6495373249053955
453,1.8916,right,range,0.7952747941017151,0.650478184223175
454,1.8958,right,range,0.7955356240272522,0.6508362889289856
455,1.8999,right,range,0.7961633801460266,0.6515396237373352
456,1.9041,right,range,0.7963623404502869,0.6518328189849854
457,1.9083,right,range,0.7970483303070068,0.6522286534309387
458,1.9125,right,range,0.7964447736740112,0.653965175151825
459,1.9166,right,range,0.7972961664199829,0.6536630392074585
460,1.9208,right,range,0.7966049909591675,0.6533936858177185
461,1.925,right,range,0.7954500913619995,0.6530856490135193
